DUID,REGIONID,CONNECTIONPOINTID,STATIONID,FY15-16,FY16-17,FY17-18,FY18-19,FY19-20,FY20-21,FY21-22,FY22-23,FY23-24,FY24-25,FY25-26,FY26-27,LATEST_MLF,PREV_MLF,YOY_CHANGE,YOY_PCT_CHANGE,STATION_NAME,FUEL_SOURCE,FUEL_CATEGORY,TECHNOLOGY,CAPACITY_MW,DUID_TYPE,STATUS
LIMOSF11,NSW1,NBSF1L,LIMOSF1,,,,,0.7628,0.7907,0.807,0.8314,0.8255,0.7774,0.8529,0.8206,0.8206,0.8529,-0.0323,-3.79,Limondale Solar Farm 1,Solar,Solar,Photovoltaic Tracking Flat Panel,275.0,Generator,Active
SUNRSF1,NSW1,NBSF2S,SUNRSF,,,,,,0.7907,0.807,0.8314,0.8255,0.7774,0.8529,0.8218,0.8218,0.8529,-0.0311,-3.65,SUNRAYSIA SF,Solar,Solar,Photovoltaic Flat panel,228.0,Generator,Active
WRWF1,NSW1,NWRK1W,WRWF1,,,0.8468,0.8427,0.8394,0.8801,0.8708,0.8697,0.8289,0.8453,0.8149,0.8265,0.8265,0.8149,0.0116,1.42,White Rock Wind Farm,Wind,Wind,Wind - Onshore,175.0,Generator,Active
WRSF1,NSW1,NWRK2W,WRSF1,,,,0.8427,0.8394,0.8801,0.8708,0.8697,0.8289,0.8453,0.8149,0.8265,0.8265,0.8149,0.0116,1.42,White Rock Solar Farm,Solar,Solar,Photovoltaic Flat Panel,22.0,Generator,Active
LIMOSF21,NSW1,NBL21L,LIMOSF2,,,,,0.7872,0.7926,0.7985,0.8309,0.831,0.7793,0.8528,0.8268,0.8268,0.8528,-0.026,-3.05,Limondale Solar Farm 2,Solar,Solar,Photovoltaic Tracking Flat Panel,38.0,Generator,Active
AVLSF1,NSW1,NNRN1A,AVLSF,,,,,,,,0.9011,0.8881,0.8446,0.8698,0.8395,0.8395,0.8698,-0.0303,-3.48,Avonlie Solar Farm,Solar,Solar,Photovoltaic Tracking Flat panel,254.1,Generator,Active
COLEASF1,NSW1,NCLS1C,COLEASF,,,,1.0019,0.8689,0.9002,0.8478,0.877,0.8894,0.8367,0.873,0.8416,0.8416,0.873,-0.0314,-3.6,Coleambally Solar Farm,Solar,Solar,Photovoltaic Tracking Flat panel,180.0,Generator,Active
BROKENH1,NSW1,NBK11B,BROKENH,1.015,1.122,1.2456,0.9789,0.7566,0.7844,0.7953,0.8381,0.8324,0.7784,0.8642,0.8436,0.8436,0.8642,-0.0206,-2.38,Broken Hill Solar Plant,Solar,Solar,Photovoltaic Flat panel,53.76,Generator,Active
GNNDHSF1,NSW1,NGNE1G,GNNDHSF,,,,,,0.896,0.896,0.8353,0.8273,0.8394,0.8437,0.8463,0.8463,0.8437,0.0026,0.31,Gunnedah Solar Farm,Solar,Solar,Photovoltaic Tracking Flat panel,144.0,Generator,Active
MOREESF1,NSW1,NMR41M,MOREESF,1.0479,0.9433,0.8911,0.8988,0.8602,0.895,0.8931,0.8275,0.7977,0.8086,0.8387,0.8509,0.8509,0.8387,0.0122,1.45,Moree Solar Farm,Solar,Solar,Photovoltaic Tracking Flat panel,57.064,Generator,Active
FINLYSF1,NSW1,NFNS1F,FINLEYSF,,,,,0.8461,0.88,0.8432,0.9036,0.9255,0.8651,0.8898,0.8521,0.8521,0.8898,-0.0377,-4.24,Finley Solar Farm,Solar ,Solar,Photovoltaic Tracking Flat Panel,162.36,Generator,Active
DARLSF1,NSW1,NDNS1D,DARLSF,,,,,,0.916,0.8587,0.888,0.8958,0.8439,0.8854,0.8554,0.8554,0.8854,-0.03,-3.39,Darlington Point Solar Farm,Solar,Solar,Photovoltaic Tracking Flat panel,324.0,Generator,Active
LIMBESS1,NSW1,NLMB1L,LIMBESS,,,,,,,,,,,0.928,0.8568,0.8568,0.928,-0.0712,-7.67,Limondale Battery,Grid,Battery,Battery and Inverter,141.0,Generator,Active
HILLSTN1,NSW1,NDNH1H,HILLSTN,,,,,,,0.8593,0.8906,0.8979,0.8482,0.8888,0.8652,0.8652,0.8888,-0.0236,-2.66,Hillston Sun Farm ,Solar,Solar,Photovoltaic Tracking Flat panel,110.0,Generator,Active
GRIFSF1,NSW1,NGG11G,GRIFSF,,,1.1162,1.0603,0.9063,0.9001,0.8547,0.8862,0.8894,0.8424,0.8921,0.8654,0.8654,0.8921,-0.0267,-2.99,Griffith Solar Farm,Solar,Solar,Photovoltaic Tracking Flat panel,27.2,Generator,Active
METZSF1,NSW1,NMTZ1M,METZSF,,,,,,,0.9208,0.8831,0.8486,0.8668,0.8557,0.8657,0.8657,0.8557,0.01,1.17,Metz Solar Farm,Solar,Solar,Photovoltaic Tracking Flat panel,135.0,Generator,Active
SAPHWF1,NSW1,NSAP1S,SAPHWF1,,,0.878,0.8821,0.9301,0.9553,0.9426,0.947,0.9086,0.9012,0.8558,0.8661,0.8661,0.8558,0.0103,1.2,Sapphire Wind Farm,Wind,Wind,Wind - Onshore,270.0,Generator,Active
CONDONG1,NSW1,NTNR1C,CONDONG1,1.0347,0.9986,0.9406,0.9223,0.9835,1.0056,0.9947,0.9771,0.9623,0.951,0.8811,0.8761,0.8761,0.8811,-0.005,-0.57,Condong Power Station,Bagasse,Other Renewable,Steam Sub-Critical,30.0,Generator,Active
